Dataset,Test,Statistic,P_Value,Significant,Interpretation
Kazakhstan,ANOVA,0.9939190471494654,0.37320027468028305,False,Not significant
Foreign,ANOVA,4.191814672645797,0.04102291673860489,True,Significant
