Metric,Kazakhstan,Foreign
Mean,3.102809917355372,1.765146379044684
Median,3.2,2.0
Std Dev,0.718536966273014,1.154682236159833
Min,0.0,0.0
Max,4.0,4.0
Skewness,-2.2471923998055576,0.04301936849665159
Kurtosis,7.103977665247619,-1.0634000690413343
