Dataset,Best_Model,Test_R2,Test_RMSE,Test_MAE
Kazakhstan,Elastic Net,0.1195262826179981,0.7856281005549662,0.5131159476678587
Foreign,Random Forest,0.9111937698780752,0.3499737994588914,0.25555999999999995
